iter	Passed	Remaining
0	15	75286
1	28	71157
2	41	69100
3	54	68128
4	67	67574
5	80	66743
6	92	66297
7	105	65880
8	118	65760
9	131	65691
10	144	65575
11	157	65271
12	169	65032
13	182	65003
14	194	64562
15	207	64733
16	220	64761
17	233	64629
18	244	64185
19	257	64203
20	270	64199
21	283	64138
22	296	64137
23	306	63651
24	320	63682
25	333	63731
26	344	63443
27	357	63457
28	369	63277
29	382	63400
30	395	63390
31	408	63390
32	420	63305
33	434	63439
34	445	63157
35	457	63143
36	471	63215
37	483	63122
38	493	62778
39	507	62885
40	517	62652
41	531	62711
42	542	62587
43	555	62516
44	567	62540
45	581	62599
46	594	62672
47	606	62619
48	619	62608
49	632	62660
50	644	62502
51	655	62343
52	667	62322
53	679	62212
54	690	62072
55	702	62032
56	714	61975
57	726	61864
58	737	61767
59	748	61652
60	761	61662
61	773	61586
62	784	61463
63	795	61358
64	806	61262
65	816	61062
66	828	61029
67	840	60968
68	853	60981
69	865	60966
70	877	60915
71	888	60827
72	900	60756
73	911	60663
74	923	60660
75	935	60604
76	947	60580
77	959	60544
78	971	60520
79	983	60463
80	994	60401
81	1007	60416
82	1019	60393
83	1029	60252
84	1040	60154
85	1052	60123
86	1063	60058
87	1075	60029
88	1086	59956
89	1098	59945
90	1111	59953
91	1122	59885
92	1134	59848
93	1146	59813
94	1158	59795
95	1169	59747
96	1182	59765
97	1195	59784
98	1207	59796
99	1219	59742
100	1231	59747
101	1244	59741
102	1256	59741
103	1268	59722
104	1279	59632
105	1291	59609
106	1303	59585
107	1314	59539
108	1327	59544
109	1339	59556
110	1351	59508
111	1361	59435
112	1373	59389
113	1386	59426
114	1399	59444
115	1412	59485
116	1424	59470
117	1437	59485
118	1449	59453
119	1461	59437
120	1475	59480
121	1486	59445
122	1497	59377
123	1509	59338
124	1522	59376
125	1535	59395
126	1547	59369
127	1560	59394
128	1573	59401
129	1586	59415
130	1598	59408
131	1610	59408
132	1623	59393
133	1634	59362
134	1647	59364
135	1660	59390
136	1673	59399
137	1685	59396
138	1697	59368
139	1709	59345
140	1721	59325
141	1733	59300
142	1745	59284
143	1758	59286
144	1769	59244
145	1782	59267
146	1792	59187
147	1804	59170
148	1817	59157
149	1829	59151
150	1841	59145
151	1852	59091
152	1865	59089
153	1876	59057
154	1888	59034
155	1900	59014
156	1912	59004
157	1924	58974
158	1935	58931
159	1948	58930
160	1960	58917
161	1971	58891
162	1983	58860
163	1996	58877
164	2008	58843
165	2019	58806
166	2030	58765
167	2042	58743
168	2054	58741
169	2066	58721
170	2079	58712
171	2090	58684
172	2104	58709
173	2116	58705
174	2127	58662
175	2140	58660
176	2153	58690
177	2166	58700
178	2180	58722
179	2193	58737
180	2205	58730
181	2216	58664
182	2228	58661
183	2240	58648
184	2252	58628
185	2265	58626
186	2276	58600
187	2288	58580
188	2300	58554
189	2311	58514
190	2324	58525
191	2337	58532
192	2349	58509
193	2360	58475
194	2372	58452
195	2385	58460
196	2397	58454
197	2408	58417
198	2420	58395
199	2432	58378
200	2443	58333
201	2455	58329
202	2467	58314
203	2479	58280
204	2490	58259
205	2503	58249
206	2515	58241
207	2527	58233
